operationall,capitalall,euiall,operationpareto,capitalpareto,euipareto
735673.39,2964133.762,241.58,1087699.85,1591336.63,214.24
807291.19,2712561.534,265.2,1151663.29,1755311.72,183.77
912703.15,3060615.675,80.25,876228,2026891.826,283.79
924951.2,2298873.381,81.53,767040.87,3513447.802,63.88
1006867.08,2300481.48,176.49,595850.04,3490110.838,221.46
946201.68,1973009.16,191.57,846848.8921,3208654.967,54.49858624
1059787.59,2441449.25,95.1,637569.43,3239416.21,142.23
796753.66,3518353.995,67.06,685014.62,2874892.092,230.28
1019971.3,2683700.62,170.44,1091880.24,2066126.248,96.93
902405.48,2892218.11,79.09,1148644.04,1691274.54,205.18
1116944.18,2391401.57,159.81,1007929.75,2079192.95,88.88
816442.43,3174576.401,68.17,977149.7642,1899044.653,162.605903
1276521.51,1894545.08,198.58,654350.94,3080920.483,248.79
1034351.57,1984736.18,176.34,599117.26,3480410.864,226.56
955454.08,2527896.049,319.07,758220.7111,2864028.043,246.766597
929171.41,2917215.795,328.61,873132.6984,3021356.084,66.55193842
1023224.04,2410590.93,159.88,955719.41,2061092.4,189.43
947655.32,2762198.713,82.27,804087.6632,2716548.794,261.8874173
800500.59,2834358.538,250.69,918250.39,2675691.435,80.61
861682.49,2396647.146,284.97,873523.9174,2400069.693,167.1841265
1014730.02,3118859.516,89.91,921058.6486,2369133.668,177.1917617
794451.12,2314764.929,260.67,936040.15,2209285.398,82.36
923548.21,2992360.676,81.57,842896.6472,2798190.471,145.3229245
991852.12,2589790.342,86.65,808689.56,2390870.78,168.61
998403.7,2188218.21,180.73,907840.02,2782379.255,78.54
1061236.99,2128029.78,170.56,928018.889,2170258.131,155.4281498
982686.77,2892375.695,87.19,883563.3093,2166835.185,264.7502023
922263.46,3170589.561,80.81,775745.89,2847463.351,247.81
773408.72,2756189.925,277.09,984764.04,2096654.299,86.53
890141.56,2340269.414,253.7,915657.0064,2107310.379,273.8093541
948328.6,2431605.975,83.78,,,
944193.9,2481702.72,183.35,,,
1019709.51,2326581.36,189.63,,,
1037738.71,2000327.15,180.86,,,
879645.54,2905670.15,160.38,,,
905317.13,2310193.08,172.89,,,
930635.28,2912036.383,332.85,,,
947650.53,2232310.79,193.46,,,
752084.59,2889173.731,273.51,,,
848548.97,3034000.646,71.69,,,
1058769.61,2734040.146,92.64,,,
1053129.44,2820857.119,93.34,,,
763870.42,3540175.911,245.08,,,
973406.55,2569842.157,86.37,,,
1001004.22,2838023.505,87.12,,,
810254.78,2988633.9,159.27,,,
951598.84,2343901.17,186.67,,,
950347.12,2690033.438,83.63,,,
888997.36,2387231.898,287.66,,,
997095.53,2948051.016,89.85,,,
1124712.76,1887118.06,182.66,,,
910803.75,2290851.527,286.39,,,
919227.27,2988852.426,80.63,,,
909310.86,2814979.444,77.69,,,
891955.61,2337420.522,286.75,,,
984171.45,3014328.32,87.24,,,
1010172.15,2008754.64,197.16,,,
1003690.64,1877578.34,181.87,,,
941292.24,2528652.84,167.18,,,
628245.27,3191990.37,147.93,,,
1100636.62,2279673.682,99.62,,,
766164.08,3109941.965,245.72,,,
955118.42,2638722.01,160.53,,,
840891.75,2870889.649,71.68,,,
923898.88,2463557.59,179.6,,,
838664.67,2494848.38,157.83,,,
947719.75,2283611.03,169.82,,,
1014095.58,2455894.238,89.34,,,
757656.39,3234753.928,246.7,,,
885779.52,2423306.413,284.61,,,
966700.22,2989392.245,85.06,,,
870344.43,3370248.247,75.21,,,
1014589.63,2696082.979,327.26,,,
1070225.07,2531188.382,95.2,,,
995155.56,2604048.14,165.16,,,
745730.12,2986272.098,260.75,,,
1020289.78,2144839.68,165.5,,,
950071.14,2218410.04,194.99,,,
737584.93,2986862.872,241.86,,,
688784.3,2778502.137,243.51,,,
908272.89,2389880.942,292.33,,,
727917.69,2858759.92,251.31,,,
903519.32,2270200.05,287.03,,,
753449.92,2614297.024,245.08,,,
812888.55,2958921.803,255.12,,,
777492.44,2617393.38,239.51,,,
1001217.26,2034932.099,324.52,,,
950417.96,2553737.948,313.6,,,
755193.71,2657728.78,246.16,,,
820120.09,2868497.32,164,,,
906539.7853,2254966.484,193.0081257,,,
894274.1377,2581257.026,166.0222392,,,
1012343.191,2142429.905,108.5518588,,,
951111.4067,3100192.491,91.97622312,,,
757004.6242,2511825.147,262.3400553,,,
770371.5469,2669414.091,267.9661197,,,
854791.0993,2841045.309,251.3296548,,,
729516.9455,2711431.96,253.7674397,,,
953065.7672,2975121.407,70.53081218,,,
757004.6242,2576822.207,260.0943067,,,
955569.1208,2604649.613,296.1753459,,,
1176620.092,1885653.003,195.8766962,,,
782128.1103,2909420.333,263.6309351,,,
871747.7538,2305389.929,163.968721,,,
945512.0178,2448299.658,166.4469431,,,
868135.4089,2493159.242,256.2887492,,,
1211412.124,1675779.159,223.8981053,,,
947488.9913,2918287.18,80.74867611,,,
1001202.108,2195403.203,165.032613,,,
762309.3905,2955590.497,237.4681949,,,
720235.6191,2673761.463,256.5857649,,,
998704.2584,2362399.405,76.22073363,,,
794393.7579,2558031.889,275.0483985,,,
951111.4067,2632256.008,172.0768597,,,
921372.8757,2438313.326,271.1548562,,,
897353.0635,3050530.609,73.60237694,,,
941309.2038,2062693.472,179.8190854,,,
951088.7936,2557321.462,155.3944601,,,
956142.2942,2099625.835,287.400184,,,
894251.5246,2661001.592,77.95537764,,,
949986.8413,2950832.557,88.95091195,,,
737556.4889,2857497.673,251.3453713,,,
871747.7538,2730207.876,101.3714241,,,
817408.3347,3384693.348,71.2137449,,,
808242.5043,2322697.014,278.9110367,,,
962229.8759,2043185.215,172.8295398,,,
915194.8097,2483768.236,168.1407432,,,
900429.5905,2052644.006,280.903272,,,
927460.4574,2620483.062,88.05510449,,,
962229.8759,1962846.405,182.4849585,,,
1090612.794,2119506.561,204.4764961,,,
948590.9437,2254074.749,156.7502599,,,
797101.4221,2672099.797,272.9823637,,,
886969.7847,2696820.706,86.3233754,,,
757004.6242,2494445.67,264.3791277,,,
762332.0036,3225862.068,243.4582188,,,
897375.6766,2930941.936,86.63592902,,,
915194.8097,3006172.335,156.0171693,,,
1086137.97,2532985.593,101.5258367,,,
1001224.721,2372432.429,171.9069852,,,
873121.0383,2917100.003,79.84275901,,,
1054416.962,2280058.14,72.82758406,,,
1019647.544,2198235.746,173.1731533,,,
732014.7955,3504155.31,244.1310855,,,
812422.7053,2622785.328,241.5807791,,,
1004326.26,2414877.847,160.7236271,,,
921372.8757,2363374.933,275.2524318,,,
852814.1257,2817136.796,250.7897215,,,
945489.4048,2662573.961,69.15095991,,,
