operationdistrict,capitaldistrict,euidistrict,operationdoasvrf,capitaldoasvrf,euidoasvrf,operationvav,capitalvav,euivav
1006867.08,2300481.48,176.49,912703.15,3060615.675,80.25,735673.39,2964133.762,241.58
946201.68,1973009.16,191.57,924951.2,2298873.381,81.53,807291.19,2712561.534,265.2
1019971.3,2683700.62,170.44,1059787.59,2441449.25,95.1,955454.08,2527896.049,319.07
1116944.18,2391401.57,159.81,796753.66,3518353.995,67.06,929171.41,2917215.795,328.61
1276521.51,1894545.08,198.58,902405.48,2892218.11,79.09,800500.59,2834358.538,250.69
1034351.57,1984736.18,176.34,816442.43,3174576.401,68.17,861682.49,2396647.146,284.97
1023224.04,2410590.93,159.88,947655.32,2762198.713,82.27,794451.12,2314764.929,260.67
998403.7,2188218.21,180.73,1014730.02,3118859.516,89.91,773408.72,2756189.925,277.09
1061236.99,2128029.78,170.56,923548.21,2992360.676,81.57,890141.56,2340269.414,253.7
944193.9,2481702.72,183.35,991852.12,s,86.65,930635.28,2912036.383,332.85
1019709.51,2326581.36,189.63,982686.77,2892375.695,87.19,752084.59,2889173.731,273.51
1037738.71,2000327.15,180.86,922263.46,3170589.561,80.81,763870.42,3540175.911,245.08
879645.54,2905670.15,160.38,948328.6,2431605.975,83.78,888997.36,2387231.898,287.66
905317.13,2310193.08,172.89,848548.97,3034000.646,71.69,910803.75,2290851.527,286.39
947650.53,2232310.79,193.46,1058769.61,2734040.146,92.64,891955.61,2337420.522,286.75
810254.78,2988633.9,159.27,1053129.44,2820857.119,93.34,766164.08,3109941.965,245.72
951598.84,2343901.17,186.67,973406.55,2569842.157,86.37,757656.39,3234753.928,246.7
1124712.76,1887118.06,182.66,1001004.22,2838023.505,87.12,885779.52,2423306.413,284.61
1010172.15,2008754.64,197.16,950347.12,2690033.438,83.63,1014589.63,2696082.979,327.26
1003690.64,1877578.34,181.87,997095.53,2948051.016,89.85,745730.12,2986272.098,260.75
941292.24,2528652.84,167.18,919227.27,2988852.426,80.63,737584.93,2986862.872,241.86
628245.27,3191990.37,147.93,909310.86,2814979.444,77.69,688784.3,2778502.137,243.51
955118.42,2638722.01,160.53,984171.45,3014328.32,87.24,908272.89,2389880.942,292.33
923898.88,2463557.59,179.6,1100636.62,2279673.682,99.62,727917.69,2858759.92,251.31
838664.67,2494848.38,157.83,840891.75,2870889.649,71.68,903519.32,2270200.05,287.03
947719.75,2283611.03,169.82,1014095.58,2455894.238,89.34,753449.92,2614297.024,245.08
995155.56,2604048.14,165.16,966700.22,2989392.245,85.06,812888.55,2958921.803,255.12
1020289.78,2144839.68,165.5,870344.43,3370248.247,75.21,777492.44,2617393.38,239.51
950071.14,2218410.04,194.99,1070225.07,2531188.382,95.2,1001217.26,2034932.099,324.52
820120.09,2868497.32,164,1012343.191,2142429.905,108.5518588,950417.96,2553737.948,313.6
906539.7853,2254966.484,193.0081257,951111.4067,3100192.491,91.97622312,755193.71,2657728.78,246.16
894274.1377,2581257.026,166.0222392,953065.7672,2975121.407,70.53081218,757004.6242,2511825.147,262.3400553
1176620.092,1885653.003,195.8766962,947488.9913,2918287.18,80.74867611,770371.5469,2669414.091,267.9661197
871747.7538,2305389.929,163.968721,998704.2584,2362399.405,76.22073363,854791.0993,2841045.309,251.3296548
945512.0178,2448299.658,166.4469431,897353.0635,3050530.609,73.60237694,729516.9455,2711431.96,253.7674397
1211412.124,1675779.159,223.8981053,894251.5246,2661001.592,77.95537764,757004.6242,2576822.207,260.0943067
1001202.108,2195403.203,165.032613,949986.8413,2950832.557,88.95091195,955569.1208,2604649.613,296.1753459
951111.4067,2632256.008,172.0768597,871747.7538,2730207.876,101.3714241,782128.1103,2909420.333,263.6309351
941309.2038,2062693.472,179.8190854,817408.3347,3384693.348,71.2137449,868135.4089,2493159.242,256.2887492
951088.7936,2557321.462,155.3944601,927460.4574,2620483.062,88.05510449,762309.3905,2955590.497,237.4681949
962229.8759,2043185.215,172.8295398,886969.7847,2696820.706,86.3233754,720235.6191,2673761.463,256.5857649
915194.8097,2483768.236,168.1407432,897375.6766,2930941.936,86.63592902,794393.7579,2558031.889,275.0483985
962229.8759,1962846.405,182.4849585,1086137.97,2532985.593,101.5258367,921372.8757,2438313.326,271.1548562
1090612.794,2119506.561,204.4764961,873121.0383,2917100.003,79.84275901,956142.2942,2099625.835,287.400184
948590.9437,2254074.749,156.7502599,1054416.962,2280058.14,72.82758406,737556.4889,2857497.673,251.3453713
915194.8097,3006172.335,156.0171693,945489.4048,2662573.961,69.15095991,808242.5043,2322697.014,278.9110367
1001224.721,2372432.429,171.9069852,981685.2365,2912393.038,107.3889686,900429.5905,2052644.006,280.903272
1019647.544,2198235.746,173.1731533,942682.4884,3129054.616,80.79812366,797101.4221,2672099.797,272.9823637
1004326.26,2414877.847,160.7236271,945512.0178,2702429.002,95.82947116,757004.6242,2494445.67,264.3791277
852200.3662,2612115.816,169.3630497,926335.892,2928564.545,79.26164951,762332.0036,3225862.068,243.4582188
895376.09,2635054.563,153.8089742,956653.1001,2373482.215,98.81827925,732014.7955,3504155.31,244.1310855
1033496.29,1892697.416,166.6326957,926335.892,2551175.767,85.402023,812422.7053,2622785.328,241.5807791
1032923.117,2496402.474,183.4956858,910719.9862,2902786.672,63.96534428,921372.8757,2363374.933,275.2524318
985880.8252,2582019.54,157.8352059,998726.8715,2605109.554,76.38625243,852814.1257,2817136.796,250.7897215
942682.4884,2726547.262,168.3272367,966432.6899,2850715.961,75.25980963,900429.5905,2205370.048,256.1737066
1176620.092,1690304.704,230.5661967,930168.1216,2796254.005,103.0355154,934625.8356,2378439.866,312.2639186
998726.8715,2162882.298,162.349933,980281.4363,2785056.939,70.5898048,764286.364,2838339.233,245.2137058
909037.6353,2687714.912,191.5827541,1033496.29,2482558.484,82.3166292,990361.1523,2709686.501,288.960673
853324.9316,2792706.506,156.6000184,951088.7936,2760015.848,89.36786553,906028.9794,2304639.555,279.2769661
1040499.479,2755966.299,194.7497388,907890.4568,2661218.08,82.98724167,850316.2758,2469841.424,247.0294797
855301.9052,2448742.415,167.1230429,1126506.778,2335439.288,122.7449471,773473.0858,2649052.661,258.4819964
