operation,capital,eui,wall,roof,window,bipvs,bipve,bipvw,shading,roofpv,daylight,hvac,hvac_id
1087699.85,1591336.63,214.24,1,3,6,2,2,2,1,1,2,District,1
1151663.29,1755311.72,183.77,2,1,3,2,2,2,2,2,1,District,1
876228,2026891.826,283.79,3,3,6,2,2,2,1,1,1,VAV,2
767040.87,3513447.802,63.88,3,1,1,1,1,1,2,2,1,DOASVRF,3
595850.04,3490110.838,221.46,3,3,1,1,1,1,2,2,1,VAV,2
846848.8921,3208654.967,54.49858624,3,4,2,1,1,1,2,2,1,DOASVRF,3
637569.43,3239416.21,142.23,3,2,1,1,1,1,2,2,1,District,1
685014.62,2874892.092,230.28,3,4,2,1,2,1,1,2,1,VAV,2
1091880.24,2066126.248,96.93,1,1,6,2,2,2,2,1,2,DOASVRF,3
1148644.04,1691274.54,205.18,2,1,5,2,2,2,1,2,1,District,1
1007929.75,2079192.95,88.88,2,1,6,2,2,2,1,1,1,DOASVRF,3
977149.7642,1899044.653,162.605903,3,3,2,2,2,2,1,1,1,District,1
654350.94,3080920.483,248.79,3,3,4,1,1,1,1,2,1,VAV,2
599117.26,3480410.864,226.56,3,4,1,1,1,1,1,2,1,VAV,2
758220.7111,2864028.043,246.766597,2,4,2,1,1,2,1,2,2,VAV,2
873132.6984,3021356.084,66.55193842,3,1,1,1,2,2,2,2,1,DOASVRF,3
955719.41,2061092.4,189.43,5,3,5,2,1,2,1,2,1,District,1
804087.6632,2716548.794,261.8874173,2,3,4,2,1,1,2,2,2,VAV,2
918250.39,2675691.435,80.61,3,4,3,2,1,1,2,2,2,DOASVRF,3
873523.9174,2400069.693,167.1841265,3,4,3,1,2,1,1,1,1,District,1
921058.6486,2369133.668,177.1917617,5,4,6,1,2,1,1,1,1,District,1
936040.15,2209285.398,82.36,4,3,3,2,2,2,2,1,1,DOASVRF,3
842896.6472,2798190.471,145.3229245,3,4,2,1,1,1,2,1,2,District,1
808689.56,2390870.78,168.61,3,2,6,1,1,2,2,2,1,District,1
907840.02,2782379.255,78.54,2,1,3,1,2,1,1,2,1,DOASVRF,3
928018.889,2170258.131,155.4281498,2,3,2,2,1,2,2,2,1,District,1
883563.3093,2166835.185,264.7502023,5,1,3,2,2,2,2,2,1,VAV,2
775745.89,2847463.351,247.81,2,3,2,1,2,1,1,1,1,VAV,2
984764.04,2096654.299,86.53,3,1,6,2,2,2,2,1,1,DOASVRF,3
915657.0064,2107310.379,273.8093541,4,1,3,2,2,2,1,2,2,VAV,2
